Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruct_text_1.started,instruct_text_1.stopped,instruct_text_2.started,instruct_text_2.stopped,instruct_text_3.started,instruct_text_3.stopped,instruct_text_4.started,instruct_text_4.stopped,tut_sure.started,tut_sure.stopped,Tutbackdrop.started,Tutbackdrop.stopped,instruct_text_5.started,instruct_text_5.stopped,instruct_text_6.started,instruct_text_6.stopped,Tutbackdrop_2.started,Tutbackdrop_2.stopped,instruct_text_7.started,instruct_text_7.stopped,instruct_text_8.started,instruct_text_8.stopped,TutArrowTop.started,TutArrowTop.stopped,TutArrowBottom.started,TutArrowBottom.stopped,Tutbackdrop_3.started,Tutbackdrop_3.stopped,instruct_text_9.started,instruct_text_9.stopped,instruct_text_10.started,instruct_text_10.stopped,TutArrowTop_2.started,TutArrowTop_2.stopped,TutArrowBottom_2.started,TutArrowBottom_2.stopped,Tutbackdrop_5.started,Tutbackdrop_5.stopped,instruct_text_11.started,instruct_text_11.stopped,instruct_text_12.started,instruct_text_12.stopped,TutArrowTop_3.started,TutArrowTop_3.stopped,instruct_text_13.started,instruct_text_13.stopped,instruct_text_14.started,instruct_text_14.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Red_Square.started,Red_Square.stopped,Blue_Square.started,Blue_Square.stopped,sure.started,sure.stopped,or_text.started,or_text.stopped,Option_One.started,Option_One.stopped,Option_Two.started,Option_Two.stopped,Risk_Text_Top.started,Risk_Text_Top.stopped,Risk_Text_Bottom.started,Risk_Text_Bottom.stopped,Ambiguity_Bar.started,Ambiguity_Bar.stopped,endscreen_text.started,endscreen_text.stopped,participant,date,expName,psychopyVersion,frameRate,
-8,-8,0,50,50,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,22,22,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.10902120001264848,30.858415499998955,None,30.858415499998955,None,30.858415499998955,None,30.858415499998955,None,30.858415499998955,None,30.858415499998955,None,30.858415499998955,None,30.858415499998955,None,30.858415499998955,None,30.858415499998955,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
-20,-20,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,0,23,23,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.1525782000098843,31.064038399985293,None,31.064038399985293,None,31.064038399985293,None,31.064038399985293,None,31.064038399985293,None,31.064038399985293,None,31.064038399985293,None,31.064038399985293,None,31.064038399985293,None,31.064038399985293,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
-50,-50,0,75,25,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,24,24,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.10516360000474378,31.31140589999268,None,31.31140589999268,None,31.31140589999268,None,31.31140589999268,None,31.31140589999268,None,31.31140589999268,None,31.31140589999268,None,31.31140589999268,None,31.31140589999268,None,31.31140589999268,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
5,5,0,38,62,0.0,0,0.5,-0.5,-0.5,-0.5,-0.5,0,25,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.14528479997534305,31.505351800005883,None,31.505351800005883,None,31.505351800005883,None,31.505351800005883,None,31.505351800005883,None,31.505351800005883,None,31.505351800005883,None,31.505351800005883,None,31.505351800005883,None,31.505351800005883,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
-5,-5,0,50,50,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,26,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.11423869998543523,31.739481700002216,None,31.739481700002216,None,31.739481700002216,None,31.739481700002216,None,31.739481700002216,None,31.739481700002216,None,31.739481700002216,None,31.739481700002216,None,31.739481700002216,None,31.739481700002216,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
-125,-125,0,13,87,0.0,0,0.5,-0.5,-0.5,-0.5,-0.5,0,27,27,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.11467949999496341,31.946985899994615,None,31.946985899994615,None,31.946985899994615,None,31.946985899994615,None,31.946985899994615,None,31.946985899994615,None,31.946985899994615,None,31.946985899994615,None,31.946985899994615,None,31.946985899994615,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
-50,-50,0,38,62,0.0,0,0.5,-0.5,-0.5,-0.5,-0.5,0,28,28,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.1534150000079535,32.1277248999977,None,32.1277248999977,None,32.1277248999977,None,32.1277248999977,None,32.1277248999977,None,32.1277248999977,None,32.1277248999977,None,32.1277248999977,None,32.1277248999977,None,32.1277248999977,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
-20,-20,0,50,50,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,29,29,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.15811610000673681,32.348986299999524,None,32.348986299999524,None,32.348986299999524,None,32.348986299999524,None,32.348986299999524,None,32.348986299999524,None,32.348986299999524,None,32.348986299999524,None,32.348986299999524,None,32.348986299999524,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
50,50,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,0,30,30,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.11959389998810366,32.58795899999677,None,32.58795899999677,None,32.58795899999677,None,32.58795899999677,None,32.58795899999677,None,32.58795899999677,None,32.58795899999677,None,32.58795899999677,None,32.58795899999677,None,32.58795899999677,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
-50,-50,0,13,87,0.0,0,-0.5,0.5,0.5,0.5,0.5,0,31,31,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.11878740001702681,32.79754229998798,None,32.79754229998798,None,32.79754229998798,None,32.79754229998798,None,32.79754229998798,None,32.79754229998798,None,32.79754229998798,None,32.79754229998798,None,32.79754229998798,None,32.79754229998798,None,,,possum,2020_Jun_23_0832,Tymula Experiment,3.2.3,59.98890205940092,
